    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
    1005.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1006.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1006.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1007.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1007.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1008.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1009.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1009.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1009.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1010.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1010.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1011.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1011.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1012.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1012.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1013.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1013.50       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1013.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1014.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1015.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1015.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1016.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1016.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1016.90       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1017.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1017.20       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1017.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1018.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1018.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1018.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1019.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1019.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1020.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1020.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1020.80       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1021.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1021.10       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1021.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1022.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1022.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1023.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1023.40       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1024.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1024.60       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1025.00       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1025.30       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    1025.70       0.000       0.000       0.000       0.000       0.000       0.000       0.000
